iter	Passed	Remaining
434	1399	1817
435	1415	1831
436	1418	1827
437	1426	1830
438	1436	1835
439	1438	1830
440	1442	1828
441	1451	1832
442	1457	1831
443	1471	1842
444	1483	1849
445	1485	1845
446	1487	1840
447	1489	1835
448	1493	1832
449	1498	1831
450	1516	1845
451	1519	1842
452	1527	1844
453	1529	1839
454	1531	1834
455	1533	1829
456	1535	1824
457	1544	1827
458	1546	1823
459	1563	1835
460	1567	1832
461	1569	1828
462	1578	1830
463	1581	1826
464	1585	1823
465	1592	1824
466	1593	1819
467	1595	1813
468	1597	1808
469	1599	1803
470	1601	1799
471	1607	1797
472	1609	1793
473	1611	1787
474	1614	1784
475	1618	1781
476	1620	1776
477	1621	1771
478	1623	1765
479	1624	1760
480	1627	1755
481	1629	1750
482	1634	1749
483	1635	1743
484	1637	1738
485	1638	1733
486	1640	1727
487	1642	1722
488	1644	1718
489	1650	1717
490	1652	1712
491	1653	1707
492	1655	1702
493	1657	1697
494	1659	1692
495	1663	1689
496	1665	1685
497	1666	1680
498	1668	1675
499	1670	1670
500	1671	1665
501	1676	1662
502	1678	1658
503	1679	1653
504	1681	1648
505	1683	1643
506	1685	1639
507	1687	1634
508	1688	1628
509	1693	1627
510	1695	1622
511	1697	1617
512	1698	1612
513	1700	1607
514	1701	1602
515	1703	1597
516	1705	1592
517	1708	1590
518	1710	1585
519	1711	1580
520	1713	1574
521	1714	1570
522	1716	1565
523	1717	1560
524	1721	1557
525	1723	1553
526	1724	1548
527	1726	1543
528	1727	1538
529	1729	1533
530	1730	1528
531	1732	1523
532	1733	1519
533	1736	1515
534	1737	1510
535	1739	1505
536	1740	1501
537	1742	1496
538	1744	1491
539	1746	1487
540	1752	1486
541	1754	1482
542	1755	1477
543	1757	1472
544	1758	1468
545	1760	1463
546	1761	1458
547	1762	1453
548	1767	1451
549	1768	1447
550	1770	1442
551	1771	1437
552	1773	1433
553	1774	1428
554	1775	1423
555	1777	1419
556	1781	1417
557	1784	1413
558	1785	1408
559	1787	1404
560	1788	1399
561	1790	1395
562	1792	1391
563	1799	1391
564	1801	1387
565	1805	1384
566	1814	1385
567	1816	1381
568	1818	1377
569	1820	1373
570	1822	1369
571	1823	1364
572	1829	1363
573	1831	1359
574	1834	1355
575	1836	1351
576	1839	1348
577	1847	1348
578	1848	1344
579	1850	1339
580	1852	1335
581	1853	1331
582	1857	1328
583	1861	1326
584	1863	1321
585	1864	1317
586	1866	1313
587	1867	1308
588	1869	1304
589	1871	1300
590	1873	1296
591	1875	1292
592	1876	1288
593	1878	1283
594	1884	1282
595	1886	1278
596	1888	1274
597	1890	1270
598	1891	1266
599	1893	1262
600	1895	1258
601	1901	1256
602	1902	1252
603	1904	1248
604	1906	1244
605	1908	1240
606	1909	1236
607	1914	1234
608	1916	1230
609	1918	1226
610	1919	1222
611	1921	1218
612	1923	1214
613	1924	1209
614	1928	1207
615	1930	1203
616	1932	1199
617	1935	1196
618	1937	1192
619	1939	1189
620	1943	1186
621	1945	1182
622	1946	1178
623	1948	1173
624	1949	1169
625	1950	1165
626	1952	1161
627	1953	1157
628	1955	1153
629	1959	1150
630	1960	1146
631	1962	1142
632	1963	1138
633	1965	1134
634	1966	1130
635	1970	1127
636	1973	1124
637	1975	1120
638	1976	1116
639	1977	1112
640	1979	1108
641	1980	1104
642	1982	1100
643	1984	1097
644	1986	1093
645	1988	1089
646	1989	1085
647	1991	1081
648	1992	1077
649	1994	1073
650	1996	1070
651	2000	1067
652	2002	1063
653	2003	1060
654	2005	1056
655	2006	1052
656	2007	1048
657	2009	1044
658	2010	1040
659	2012	1036
660	2015	1033
661	2017	1029
662	2018	1026
663	2020	1022
664	2022	1018
665	2024	1015
666	2028	1012
667	2030	1009
668	2032	1005
669	2033	1001
670	2035	997
671	2036	994
